Cases,Time
1.8391532563171334e-07,10.919
2.100628624610608e-07,10.92
2.417746835122879e-07,10.921
2.962814095574109e-07,10.922
0.0,10.923
1.2690143819977333e-08,10.924
0.0,10.925
7.906833185690362e-08,10.926
0.0,10.927
4.859721754320858e-09,10.928
0.0,10.929
5.618339703741801e-09,10.93
0.0,10.931000000000001
0.0,10.932
1.70845927654422e-08,10.933
0.0,10.934000000000001
0.0,10.935
1.8341695273175628e-08,10.936
2.788047249455888e-08,10.937
1.4904636878180754e-08,10.938
2.7213601733052177e-08,10.939
3.64003538103247e-08,10.94
3.624658286576297e-09,10.941
0.0,10.942
0.0,10.943
0.0,10.944
4.16781366488265e-08,10.945
4.3196582542510433e-08,10.946
7.6730501802307e-08,10.947000000000001
8.888587094579828e-08,10.948
1.0209970218908488e-07,10.949
8.732714936930349e-08,10.950000000000001
1.2470980060041912e-07,10.951
1.35263999564205e-07,10.952
1.6102721078899374e-07,10.953
1.4641129084430637e-07,10.954
2.2532856987596337e-07,10.955
2.900970244282167e-07,10.956
3.230617875521387e-07,10.957
3.2987403481279026e-07,10.958
2.8115312440052414e-07,10.959
3.0128709167703465e-07,10.96
2.76249645955411e-07,10.961
3.027942677261038e-07,10.962
3.334877238372499e-07,10.963000000000001
3.353480250037053e-07,10.964
2.9848287143880017e-07,10.965
2.885498104763747e-07,10.966000000000001
2.661736666059865e-07,10.967
2.65089211107982e-07,10.968
2.591330049875474e-07,10.969
2.315903791296048e-07,10.97
2.148867920183296e-07,10.971
1.464586875008928e-07,10.972
1.5372431651310552e-07,10.973
7.982658470535524e-08,10.974
7.710698757249895e-08,10.975
2.0062192627832308e-08,10.976
5.8720487948840245e-08,10.977
4.5588274599456975e-08,10.978
4.1550903138197454e-08,10.979000000000001
7.922046163433889e-08,10.98
4.7962091342921814e-08,10.981
8.305704850063783e-08,10.982000000000001
1.1709887425046085e-07,10.983
1.0996526759286306e-07,10.984
6.601513346567589e-08,10.985
8.866013005045195e-09,10.986
0.0,10.987
7.291375366624305e-09,10.988
3.972791656061607e-08,10.989
6.696491063461215e-08,10.99
1.2682547124011697e-07,10.991
1.1630786488563364e-07,10.992
5.0312164079510354e-08,10.993
0.0,10.994
2.5647382340614193e-08,10.995000000000001
2.1530857451638024e-08,10.996
2.1930123666555457e-08,10.997
2.9374530048745488e-08,10.998000000000001
7.910037735502218e-09,10.999
6.287076300628265e-09,11.0
0.0,11.001
0.0,11.002
1.1352188357906053e-08,11.003
3.8350151783975256e-08,11.004
6.85229298098966e-08,11.005
8.774042712295999e-08,11.006
1.576301824739285e-07,11.007
1.6054537062773467e-07,11.008000000000001
1.0640335178048009e-07,11.009
1.3813505826469992e-07,11.01
1.5142348164233686e-07,11.011000000000001
1.297674260343916e-07,11.012
1.1886383242658464e-07,11.013
1.1781613147803261e-07,11.014
7.814726032270794e-08,11.015
1.0589070644859638e-07,11.016
9.91324700482971e-08,11.017
7.104240104321158e-08,11.018
3.5422338168076774e-08,11.019
8.037714997682656e-08,11.02
9.18224711004167e-08,11.021
6.591229121551542e-08,11.022
8.582990734772313e-08,11.023
1.098990185897903e-07,11.024000000000001
8.3449918370169e-08,11.025
1.0618487734913299e-07,11.026
8.10823619169253e-08,11.027000000000001
4.949754633974474e-08,11.028
8.5624229283445e-08,11.029
5.726308124705788e-08,11.03
9.858538583044505e-08,11.031
6.9786004454303e-08,11.032
8.179452367116274e-08,11.033
2.4234632282336996e-08,11.034
4.125632327544221e-08,11.035
4.112460085596656e-08,11.036
2.2622062040936433e-08,11.037
1.8746333740225936e-08,11.038
4.6435054137876777e-08,11.039
0.0,11.040000000000001
0.0,11.041
1.0604185883419214e-08,11.042
4.10148147376877e-09,11.043000000000001
0.0,11.044
0.0,11.045
1.1528883537865992e-08,11.046
6.227986140914945e-09,11.047
2.8297747484565773e-08,11.048
0.0,11.049
1.2615768841779513e-07,11.05
0.0,11.051
0.0,11.052
2.224583877831544e-08,11.053
5.3590055097993175e-08,11.054
6.187738006506075e-08,11.055
5.184905686634152e-08,11.056000000000001
6.353070516954933e-08,11.057
5.669744431354692e-08,11.058
2.242541102010773e-08,11.059000000000001
